Date,Season,G,Tm,@,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,MP-binned,GmSc/min,PM/min,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
12/1/2004,2,15,CLE,@,PHO,L (-19),40.783333333,6,19,0.316,0,2,0,3,4,0.75,1,2,3,6,2,1,6,2,15,5.1,-17,Average,0.125051083,-0.416836943,106.3,125.9,-19.7,21.4,1,18.2,2.3,5.4,3.8,18.2,31.6,36.1,29,94.74,2.4
12/2/2004,2,16,CLE,@,DEN,W (+19),41.166666667,8,17,0.471,0,0,,1,2,0.5,1,7,8,9,2,1,5,3,17,13.5,23,Average,0.327935223,0.558704453,107.8,75.9,31.8,37.5,1.8,28.1,2.2,15.9,9,15.6,47.1,47.5,24.2,90.95,19.6
12/4/2004,2,17,CLE,,TOR,W (+8),42.833333333,10,17,0.588,1,3,0.333,6,7,0.857,0,6,6,10,2,1,3,2,27,26.4,15,Above,0.616342412,0.350194553,111.2,95.5,15.8,37,3.33,30.3,0,12.5,7.4,9.1,61.8,67.2,23.7,99.18,20.1
12/7/2004,2,18,CLE,,NJN,W (+6),46.083333333,11,22,0.5,0,1,0,5,6,0.833,0,2,2,8,3,0,3,4,27,20.2,6,Above,0.438336347,0.130198915,117.9,110.7,7.1,32,2.67,22.9,0,5.4,2.6,8.6,50,54.8,27.6,87.49,14.4
12/8/2004,2,19,CLE,@,CHI,L (-28),37.3,5,15,0.333,0,2,0,9,12,0.75,0,2,2,6,1,1,4,2,19,11,-22,Average,0.294906166,-0.589812332,88.7,118.1,-29.3,37.5,1.5,19.4,0,6.7,2.9,12.9,33.3,46.8,30.5,92.01,9.4
12/11/2004,2,20,CLE,@,SAS,L (-19),41.216666667,10,19,0.526,1,3,0.333,2,2,1,3,3,6,10,4,0,3,2,23,23.9,-18,Average,0.579862515,-0.436716539,109.1,132.5,-23.4,38.5,3.33,30.3,7.9,13.6,10,9.1,55.3,57.8,25.3,89.67,16.1
12/13/2004,2,21,CLE,@,MEM,W (+6),45.816666667,14,22,0.636,1,3,0.333,2,4,0.5,0,5,5,8,7,0,3,2,31,30.7,10,Above,0.670061841,0.218261186,109.8,98.8,11,34.8,2.67,23.5,0,12.8,6.2,8.8,65.9,65.2,27.1,85.38,26.1
12/15/2004,2,22,CLE,,POR,W (+24),37.15,10,18,0.556,2,3,0.667,3,3,1,2,9,11,7,3,2,3,1,25,26.4,18,Average,0.710632571,0.484522207,110.7,86.7,24,29.2,2.33,24.1,6.7,22.5,15.7,10.3,61.1,64.7,27.5,96.9,24.5
12/16/2004,2,23,CLE,@,DET,L (-12),45.066666667,4,21,0.19,0,2,0,3,5,0.6,1,8,9,7,4,1,3,2,11,6,-8,Above,0.133136095,-0.177514793,88.2,98.7,-10.5,31.8,2.33,21.2,2,19,9.8,9.1,19,23.7,28,80.95,7.3
12/18/2004,2,24,CLE,,BOS,L (-7),40.533333333,12,25,0.48,3,5,0.6,4,8,0.5,1,4,5,4,3,1,4,6,31,18.7,-1,Average,0.461348684,-0.024671053,105.1,106.3,-1.3,22.2,1,11.1,2.6,11.1,6.8,11.1,54,54.3,35.6,93.55,14.1
